GEOID,Income,year
04000US32,48209,2005
04000US33,56984,2005
04000US34,63368,2005
04000US35,38947,2005
04000US36,47176,2005
04000US37,42056,2005
04000US38,42192,2005
04000US39,44203,2005
04000US40,37645,2005
04000US41,44159,2005
04000US42,46300,2005
04000US44,49484,2005
04000US45,40230,2005
04000US46,43151,2005
04000US47,39406,2005
04000US48,41422,2005
04000US49,54813,2005
04000US50,50704,2005
04000US51,51914,2005
04000US53,50646,2005
04000US54,36445,2005
04000US55,44650,2005
04000US56,44718,2005
04000US01,36629,2004
04000US02,55063,2004
04000US04,43846,2004
04000US05,34984,2004
04000US06,49222,2004
04000US08,50886,2004
04000US09,55100,2004
04000US10,48049,2004
04000US12,40535,2004
04000US13,40984,2004
04000US15,56242,2004
04000US16,44358,2004
04000US17,46077,2004
04000US18,42329,2004
04000US19,43391,2004
04000US20,41066,2004
04000US21,35610,2004
04000US22,36429,2004
04000US23,41329,2004
04000US24,57103,2004
04000US25,52019,2004
04000US26,42256,2004
04000US27,56104,2004
04000US28,34755,2004
04000US29,42137,2004
04000US30,33956,2004
04000US31,43786,2004
04000US32,47204,2004
04000US33,56815,2004
04000US34,55275,2004
04000US35,39562,2004
04000US36,44649,2004
04000US37,40238,2004
04000US38,39220,2004
04000US39,43055,2004
04000US40,39614,2004
04000US41,40994,2004
04000US42,44106,2004
04000US44,47935,2004
04000US45,38691,2004
04000US46,41107,2004
04000US47,38072,2004
04000US48,41397,2004
04000US49,50871,2004
04000US50,47329,2004
04000US51,51141,2004
04000US53,49922,2004
04000US54,33373,2004
04000US55,45732,2004
04000US56,45397,2004
04000US01,40933,2010
04000US02,57848,2010
04000US04,46896,2010
04000US05,38587,2010
04000US06,54283,2010
04000US08,60233,2010
04000US09,65998,2010
04000US10,55214,2010
04000US12,44066,2010
04000US13,44117,2010
04000US15,59539,2010
04000US16,47050,2010
04000US17,50728,2010
04000US18,46139,2010
04000US19,49016,2010
04000US20,46054,2010
04000US21,41104,2010
04000US22,39300,2010
04000US23,47931,2010
04000US24,64201,2010
04000US25,60934,2010
04000US26,46276,2010
04000US27,52321,2010
04000US28,38160,2010
04000US29,45817,2010
04000US30,41280,2010
04000US31,52504,2010
04000US32,51200,2010
04000US33,66633,2010
04000US34,62968,2010
04000US35,45134,2010
04000US36,49781,2010
04000US37,43830,2010
04000US38,51006,2010
04000US39,45886,2010
04000US40,43103,2010
04000US41,50602,2010
04000US42,48314,2010
04000US44,51623,2010
04000US45,41698,2010
04000US46,45352,2010
04000US47,38591,2010
04000US48,47266,2010
04000US49,56701,2010
04000US50,55928,2010
04000US51,60367,2010
04000US53,56163,2010
04000US54,42777,2010
04000US55,50351,2010
04000US56,52201,2010
04000US01,35424,2000
04000US02,52847,2000
04000US04,39783,2000
04000US05,29697,2000
04000US06,46816,2000
04000US08,48240,2000
04000US09,50172,2000
04000US10,50365,2000
04000US12,38856,2000
04000US13,41901,2000
04000US15,51546,2000
04000US16,37611,2000
04000US17,46064,2000
04000US18,40865,2000
04000US19,40991,2000
04000US20,41059,2000
04000US21,36265,2000
04000US22,30718,2000
04000US23,37266,2000
04000US24,54535,2000
04000US25,46753,2000
04000US26,45512,2000
04000US27,54251,2000
04000US28,34299,2000
04000US29,45097,2000
04000US30,32777,2000
04000US31,41750,2000
04000US32,45758,2000
04000US33,50926,2000
04000US34,50405,2000
04000US35,35093,2000
04000US36,40744,2000
04000US37,38317,2000
04000US38,35996,2000
04000US39,42962,2000
04000US40,32432,2000
04000US41,42499,2000
04000US42,42176,2000
04000US44,42197,2000
